Wedstrijd,Verwachte Doelpunten,Meest Waarschijnlijke Uitslag,Waarschijnlijkheid Uitslag,Voorspelling,Waarschijnlijkheid Voorspelling,Winstkansen
Cartouche vs Roomburg,6.71 - 1.88,6 - 1,4.42%,Cartouche wint,91.74%,91.7% - 3.5% - 2.8%
Cartouche vs Barendrecht,2.35 - 4.39,2 - 4,5.05%,Barendrecht wint,72.34%,15.9% - 11.7% - 72.3%
Cartouche vs Hudito,7.05 - 1.46,7 - 1,5.04%,Cartouche wint,93.93%,93.9% - 2.0% - 1.3%
Cartouche vs Forcial,5.71 - 2.09,5 - 2,4.53%,Cartouche wint,86.68%,86.7% - 6.4% - 6.3%
Cartouche vs HDM,4.36 - 5.02,4 - 5,3.37%,HDM wint,51.72%,35.1% - 12.9% - 51.7%
Roomburg vs Voorne,3.32 - 6.40,3 - 6,3.50%,Voorne wint,78.32%,12.2% - 8.1% - 78.3%
Roomburg vs Barendrecht,1.06 - 5.17,1 - 5,6.43%,Barendrecht wint,93.40%,2.3% - 4.0% - 93.4%
Roomburg vs Victoria,1.96 - 3.20,1 - 3,6.14%,Victoria wint,62.44%,21.8% - 15.8% - 62.4%
Roomburg vs Forcial,2.57 - 2.46,2 - 2,6.54%,Roomburg wint,42.70%,42.7% - 18.3% - 39.0%
Roomburg vs HDM,1.96 - 5.91,1 - 5,4.49%,HDM wint,88.87%,4.9% - 5.4% - 88.9%
Voorne vs Cartouche,7.42 - 5.42,7 - 5,2.54%,Voorne wint,62.26%,62.3% - 9.7% - 23.7%
Voorne vs Roomburg,8.73 - 2.44,8 - 2,3.51%,Voorne wint,85.92%,85.9% - 1.9% - 1.6%
Voorne vs Barendrecht,3.05 - 5.69,3 - 5,3.76%,Barendrecht wint,75.98%,14.1% - 9.4% - 76.0%
Voorne vs Victoria,5.67 - 3.52,5 - 3,3.62%,Voorne wint,70.14%,70.1% - 10.5% - 18.8%
Voorne vs HDM,5.67 - 6.50,5 - 6,2.65%,HDM wint,52.04%,34.5% - 11.2% - 52.0%
Barendrecht vs Cartouche,5.99 - 1.72,5 - 1,4.95%,Barendrecht wint,91.14%,91.1% - 4.4% - 3.6%
Barendrecht vs Voorne,7.75 - 2.24,7 - 2,3.83%,Barendrecht wint,89.76%,89.8% - 2.7% - 2.3%
Barendrecht vs Hudito,7.40 - 0.60,7 - 0,8.06%,Barendrecht wint,95.48%,95.5% - 0.5% - 0.1%
Barendrecht vs Forcial,5.99 - 0.86,5 - 0,6.80%,Barendrecht wint,96.35%,96.4% - 1.9% - 0.9%
Hudito vs Roomburg,2.35 - 2.33,2 - 2,6.96%,Hudito wint,40.91%,40.9% - 19.0% - 40.1%
Hudito vs Voorne,2.58 - 6.72,2 - 6,3.89%,Voorne wint,86.80%,5.8% - 5.3% - 86.8%
Hudito vs Victoria,1.53 - 3.36,1 - 3,7.28%,Victoria wint,72.63%,13.8% - 13.5% - 72.6%
Hudito vs Forcial,2.00 - 2.58,1 - 2,6.83%,Forcial wint,51.23%,30.2% - 18.6% - 51.2%
Hudito vs HDM,1.53 - 6.20,1 - 6,5.31%,HDM wint,93.06%,2.4% - 3.4% - 93.1%
Victoria vs Cartouche,3.71 - 3.20,3 - 3,4.64%,Victoria wint,49.92%,49.9% - 15.2% - 34.8%
Victoria vs Roomburg,4.36 - 1.44,4 - 1,6.56%,Victoria wint,84.76%,84.8% - 8.3% - 6.9%
Victoria vs Barendrecht,1.53 - 3.36,1 - 3,7.28%,Barendrecht wint,72.63%,13.8% - 13.5% - 72.6%
Victoria vs Forcial,3.71 - 1.60,3 - 1,6.73%,Victoria wint,75.84%,75.8% - 12.0% - 12.1%
Forcial vs Voorne,3.69 - 5.44,3 - 5,3.60%,Voorne wint,65.54%,22.6% - 11.4% - 65.5%
Forcial vs Hudito,3.52 - 1.46,3 - 1,7.28%,Forcial wint,75.84%,75.8% - 12.4% - 11.8%
Forcial vs Victoria,2.18 - 2.72,2 - 2,6.54%,Victoria wint,50.33%,31.6% - 18.1% - 50.3%
Forcial vs HDM,2.18 - 5.02,2 - 5,4.71%,HDM wint,80.91%,10.1% - 8.8% - 80.9%
HDM vs Cartouche,6.85 - 3.20,6 - 3,3.39%,HDM wint,81.95%,81.9% - 6.7% - 9.1%
HDM vs Barendrecht,2.82 - 3.36,2 - 3,5.21%,Barendrecht wint,50.40%,33.5% - 16.1% - 50.4%
HDM vs Hudito,8.46 - 1.12,8 - 1,5.04%,HDM wint,90.38%,90.4% - 0.5% - 0.2%
HDM vs Victoria,5.24 - 2.08,5 - 2,4.72%,HDM wint,83.80%,83.8% - 7.7% - 8.1%
